business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
FYWN1wneV18bWNgQjJ2GNg,"""Dental by Design""",,"""4855 E Warner Rd, Ste B9""",Ahwatukee,AZ,85044,33.3306902,-111.9785992,4.0,22,1,Dentists;General Dentistry;Health & Medical;Oral Surgeons;Cosmetic Dentists;Orthodontists
He-G7vWjzVUysIKrfNbPUQ,"""Stephen Szabo Salon""",,"""3101 Washington Rd""",McMurray,PA,15317,40.2916853,-80.1048999,3.0,11,1,Hair Stylists;Hair Salons;Men's Hair Salons;Blow Dry/Out Services;Hair Extensions;Beauty & Spas
KQPW8lFf1y5BT2MxiSZ3QA,"""Western Motor Vehicle""",,"""6025 N 27th Ave, Ste 1""",Phoenix,AZ,85017,33.5249025,-112.1153098,1.5,18,1,Departments of Motor Vehicles;Public Services & Government
8DShNS-LuFqpEWIp0HxijA,"""Sports Authority""",,"""5000 Arizona Mills Cr, Ste 435""",Tempe,AZ,85282,33.3831468,-111.9647254,3.0,9,0,Sporting Goods;Shopping
PfOCPjBrlQAnz__NXj9h_w,"""Brick House Tavern + Tap""",,"""581 Howe Ave""",Cuyahoga Falls,OH,44221,41.1195346,-81.4756898,3.5,116,1,American (New);Nightlife;Bars;Sandwiches;American (Traditional);Burgers;Restaurants
o9eMRCWt5PkpLDE0gOPtcQ,"""Messina""",,"""Richterstr. 11""",Stuttgart,BW,70567,48.7272,9.14795,4.0,5,1,Italian;Restaurants
kCoE3jvEtg6UVz5SOD3GVw,"""BDJ Realty""",Summerlin,"""2620 Regatta Dr, Ste 102""",Las Vegas,NV,89128,36.20743,-115.26846,4.0,5,1,Real Estate Services;Real Estate;Home Services;Property Management
OD2hnuuTJI9uotcKycxg1A,"""Soccer Zone""",,"""7240 W Lake Mead Blvd, Ste 4""",Las Vegas,NV,89128,36.1974844,-115.2496601,1.5,9,1,Shopping;Sporting Goods
EsMcGiZaQuG1OOvL9iUFug,"""Any Given Sundae""",,"""2612 Brandt School Rd""",Wexford,PA,15090,40.6151022445,-80.0913487465,5.0,15,1,Coffee & Tea;Ice Cream & Frozen Yogurt;Food
TGWhGNusxyMaA4kQVBNeew,"""Detailing Gone Mobile""",,"""""",Henderson,NV,89014,36.0558252127,-115.04635039,5.0,7,1,Automotive;Auto Detailing
